Rank,Target,Score,Precision
0,nervous,0.89333,0.11547
1,frightened,0.83929,0.13363
2,anxious,0.82692,0.13868
3,confused,0.8169,0.11868
4,concerned,0.79545,0.15076
5,bewildered,0.75,0.17678
6,unhappy,0.73913,0.14744
7,afraid,0.7037,0.19245
8,dislike,0.68293,0.15617
9,disbelief,0.65957,0.14586
10,fear,0.64286,0.18898
11,goofy,0.61111,0.2357
12,disgusted,0.61111,0.2357
13,playful,0.61111,0.2357
14,interested,0.58824,0.24254
15,angry,0.52727,0.13484
16,unpleasant,0.52632,0.22942
17,upset,0.47059,0.12127
18,silly,0.46154,0.27735
19,strange,0.45833,0.20412
20,uncomfortable,0.44444,0.33333
21,sad,0.375,0.35355
22,hurt,0.375,0.17678
23,crying,0.375,0.25
24,bad,0.375,0.35355
25,terrified,0.36,0.2
26,shocked,0.31915,0.14586
27,excited,0.2973,0.1644
28,scared,0.28571,0.37796
29,funny,0.28571,0.37796
30,annoyed,0.27273,0.15076
31,happy,0.23171,0.11043
32,kid,0.2,0.44721
33,mad,0.16667,0.40825
34,guilty,0.13043,0.20851
35,surprised,0.07143,0.26726
36,distraught,0,0.5
37,intrigued,0,0.57735
38,worried,0,0.44721
39,crazy,0,0.57735
40,sacred,0,0.57735
41,boring,0,0.57735
